"Date_collected","Site","State","Percent_coverage","Season"
2024-05-01,"ASHC","CT","26-50","Spring"
2024-05-01,"ASHC","CT","100","Spring"
2024-05-01,"ASHC","CT","100","Spring"
2024-05-01,"ASHC","CT","76-99","Spring"
2024-05-13,"FENC","CT","76-99","Spring"
2024-05-13,"FENC","CT","100","Spring"
2024-05-13,"FENC","CT","100","Spring"
2024-05-13,"FENC","CT","100","Spring"
2024-08-14,"GOLD","NY",",,,,,","Fall"
2024-09-23,"ASHC","CT","100","Fall"
2024-09-23,"ASHC","CT","100","Fall"
2024-09-23,"ASHC","CT","100","Fall"
2024-09-23,"ASHC","CT","76-99","Fall"
2024-09-25,"FENC","CT","100","Fall"
2024-09-25,"FENC","CT","100","Fall"
2024-09-25,"FENC","CT","100","Fall"
2024-09-25,"FENC","CT","100","Fall"
2023-10-03,"ASHC","CT","75-99","Fall"
2023-10-03,"ASHC","CT","75-99","Fall"
2023-10-03,"ASHC","CT","100","Fall"
2023-10-03,"ASHC","CT","75-99","Fall"
2023-10-03,"ASHC","CT","75-99","Fall"
2023-10-03,"ASHC","CT","75-99","Fall"
2023-10-05,"FENC","CT","100","Fall"
2023-10-05,"FENC","CT","50-74","Fall"
2023-10-05,"FENC","CT","100","Fall"
2023-10-05,"FENC","CT","100","Fall"
2023-10-05,"FENC","CT","75-99","Fall"
2023-10-05,"FENC","CT","100","Fall"
2023-10-05,"FENC","CT","50-74","Fall"
2023-10-05,"FENC","CT","100","Fall"
2023-10-05,"FENC","CT","25-49","Fall"
2023-10-16,"GOLD","NY","100","Fall"
2023-10-16,"GOLD","NY","100","Fall"
2023-10-16,"GOLD","NY","100","Fall"
2023-10-17,"LAUR","NY","25-49","Fall"
2023-10-17,"LAUR","NY","25-49","Fall"
2023-10-17,"LAUR","NY","25-49","Fall"
2023-06-12,"ASHC","CT","100","Spring"
2023-06-12,"ASHC","CT","75-99","Spring"
2023-06-12,"ASHC","CT","100","Spring"
2023-06-12,"ASHC","CT","25-49","Spring"
2023-06-12,"ASHC","CT","100","Spring"
2023-06-12,"ASHC","CT","100","Spring"
2023-06-12,"ASHC","CT","50-74","Spring"
2023-06-12,"ASHC","CT","75-99","Spring"
2023-06-14,"FENC","CT","100","Spring"
2023-06-14,"FENC","CT","25-49","Spring"
2023-06-14,"FENC","CT","100","Spring"
2023-06-14,"FENC","CT","100","Spring"
2023-06-14,"FENC","CT","100","Spring"
2023-06-14,"FENC","CT","100","Spring"
2023-06-14,"FENC","CT","75-99","Spring"
2023-06-14,"FENC","CT","75-99","Spring"
2023-06-14,"FENC","CT","50-74","Spring"
